HGNC symbol	Description	Phenotype description
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	Tay-Sachs disease B variant infantile form
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	Tay-Sachs disease B variant juvenile form
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	TAY-SACHS DISEASE B1 VARIANT
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	TAY-SACHS DISEASE
HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	GM2-gangliosidosis type 1 (GM2G1)
HEXIM1	hexamethylene bisacetamide inducible 1 [Source:HGNC Symbol;Acc:HGNC:24953]	
HHLA2	HERV-H LTR-associating 2 [Source:HGNC Symbol;Acc:HGNC:4905]	
HIC1	HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]	Miller-Dieker syndrome
HIF3A	hypoxia inducible factor 3 alpha subunit [Source:HGNC Symbol;Acc:HGNC:15825]	
HIGD1B	HIG1 hypoxia inducible domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24318]	
HIVEP2	human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4921]	MENTAL RETARDATION AUTOSOMAL DOMINANT 43
HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	
HLCS	holocarboxylase synthetase [Source:HGNC Symbol;Acc:HGNC:4976]	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY
HLTF	helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]	
HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]	positive regulation of telomerase activity
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]	positive regulation of telomere maintenance via telomerase
HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]	negative regulation of telomeric DNA binding
HMG20A	high mobility group 20A [Source:HGNC Symbol;Acc:HGNC:5001]	
HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	
HP	haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	Anhaptoglobinemia
HRH4	histamine receptor H4 [Source:HGNC Symbol;Acc:HGNC:17383]	
HS6ST3	heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]	
HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	APPARENT MINERALOCORTICOID EXCESS
HSD17B12	hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]	
HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	Congenital bile acid synthesis defect type 1
HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	BILE ACID SYNTHESIS DEFECT CONGENITAL 1
HSF1	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	
HSPA14	heat shock protein family A (Hsp70) member 14 [Source:HGNC Symbol;Acc:HGNC:29526]	
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	cellular heat acclimation
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	negative regulation of cell death
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	positive regulation of NF-kappaB transcription factor activity
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	positive regulation of gene expression
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	positive regulation of interleukin-8 production
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	positive regulation of tumor necrosis factor-mediated signaling pathway
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	protein stabilization
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	cellular heat acclimation
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	negative regulation of cell death
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	positive regulation of NF-kappaB transcription factor activity
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	positive regulation of gene expression
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	positive regulation of interleukin-8 production
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	positive regulation of tumor necrosis factor-mediated signaling pathway
HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	protein stabilization
HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	
HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	
HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	Autosomal dominant Charcot-Marie-Tooth disease type 2F
HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	Distal hereditary motor neuropathy type 2
HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	CHARCOT-MARIE-TOOTH DISEASE AXONAL TYPE 2F
HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	NEURONOPATHY DISTAL HEREDITARY MOTOR TYPE IIB
HSPB2	heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]	
HSPB9	heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]	
HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	integral component of plasma membrane
HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	positive regulation of release of sequestered calcium ion into cytosol
HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	serotonin receptor signaling pathway
HTR4	5-hydroxytryptamine receptor 4 [Source:HGNC Symbol;Acc:HGNC:5299]	
IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	
IFITM5	interferon induced transmembrane protein 5 [Source:HGNC Symbol;Acc:HGNC:16644]	Osteogenesis imperfecta type 5
IFITM5	interferon induced transmembrane protein 5 [Source:HGNC Symbol;Acc:HGNC:16644]	OSTEOGENESIS IMPERFECTA TYPE VII
IFITM5	interferon induced transmembrane protein 5 [Source:HGNC Symbol;Acc:HGNC:16644]	Osteogenesis Imperfecta Type V
IFITM5	interferon induced transmembrane protein 5 [Source:HGNC Symbol;Acc:HGNC:16644]	bone mineralization
IFITM5	interferon induced transmembrane protein 5 [Source:HGNC Symbol;Acc:HGNC:16644]	bone morphogenesis
IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]	
IFT27	intraflagellar transport 27 [Source:HGNC Symbol;Acc:HGNC:18626]	BARDET-BIEDL SYNDROME
IFT27	intraflagellar transport 27 [Source:HGNC Symbol;Acc:HGNC:18626]	Bardet-Biedl syndrome 19
IFT52	intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]	SHORT-RIB THORACIC DYSPLASIA 16 WITH OR WITHOUT POLYDACTYLY
IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	Growth delay due to insulin-like growth factor I resistance
IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	INSULIN-LIKE GROWTH FACTOR I RESISTANCE TO
IGFBPL1	insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]	
IGFL2	IGF like family member 2 [Source:HGNC Symbol;Acc:HGNC:32929]	
IHH	indian hedgehog [Source:HGNC Symbol;Acc:HGNC:5956]	Acrocapitofemoral dysplasia
IHH	indian hedgehog [Source:HGNC Symbol;Acc:HGNC:5956]	Brachydactyly type A1
IHH	indian hedgehog [Source:HGNC Symbol;Acc:HGNC:5956]	embryonic skeletal system development
IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	
IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	
IL17REL	interleukin 17 receptor E like [Source:HGNC Symbol;Acc:HGNC:33808]	
IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	
IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	OMENN SYNDROME
IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	T-B+ severe combined immunodeficiency due to gamma chain deficiency
IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	COMBINED IMMUNODEFICIENCY X-LINKED
IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	SEVERE COMBINED IMMUNODEFICIENCY X-LINKED
IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	HUMAN IMMUNODEFICIENCY VIRUS TYPE 1 SUSCEPTIBILITY TO
IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	IgE RESPONSIVENESS ATOPIC
IMPAD1	inositol monophosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26019]	CHONDRODYSPLASIA WITH JOINT DISLOCATIONS GPAPP TYPE
IMPAD1	inositol monophosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26019]	Chondrodysplasia with joint dislocations GRAPP type
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	Leber congenital amaurosis
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	Retinitis pigmentosa
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	LEBER CONGENITAL AMAUROSIS 11
IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	RETINITIS PIGMENTOSA 10
INPP5D	inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]	
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	JOUBERT SYNDROME
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	Joubert syndrome with hepatic defect
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	Joubert syndrome with ocular defect
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	MORM syndrome
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	JOUBERT SYNDROME 1
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	MENTAL RETARDATION TRUNCAL OBESITY RETINAL DYSTROPHY AND MICROPENISSYNDROME
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	Joubert syndrome type 10 (JBTS10)
INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	mental retardation-truncal obesity-retinal dystrophy-micropenis (MORMS)
INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	Opsismodysplasia
INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	SCHNECKENBECKEN DYSPLASIA
INTU	inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]	
IPP	intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]	
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	GASTRIC CANCER GASTRIC CANCER INTESTINAL INCLUDED
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	LUNG CANCER ALVEOLAR CELL CARCINOMA INCLUDED
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	RNA polymerase II core promoter proximal region sequence-specific DNA binding
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	negative regulation of transcription DNA-templated
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	positive regulation of interferon-beta production
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	positive regulation of transcription from RNA polymerase II promoter
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	positive regulation of transcription DNA-templated
IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	transcriptional activator activity RNA polymerase II core promoter proximal region sequence-specific binding
IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	HERPES SIMPLEX ENCEPHALITIS SUSCEPTIBILITY TO 7 (1 patient)
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	IMMUNODEFICIENCY 39
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	DNA binding
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	positive regulation of interferon-beta production
IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	positive regulation of transcription DNA-templated
ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	
ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	cell-matrix adhesion
ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	collagen binding involved in cell-matrix adhesion
ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	integrin-mediated signaling pathway
ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	
ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	DIABETES MELLITUS INSULIN-DEPENDENT 19
JDP2	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	
JMJD6	arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	
KANK2	KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]	Skin fragility-woolly hair-palmoplantar keratoderma syndrome
KANK2	KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]	Palmoplantar keratoderma and woolly hair
KAT8	lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933]	
KATNAL1	katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]	
KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	
KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]	
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	TEMPLE-BARAITSER SYNDROME
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	Zimmermann-Laband syndrome
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	ZIMMERMANN-LABAND SYNDROME 1
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	Temple barraister syndrome
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	cellular response to calcium ion
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	integral component of plasma membrane
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	phosphatidylinositol-mediated signaling
KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	negative regulation of cell proliferation involved in contact inhibition
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	cellular response to ionizing radiation
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	double-strand break repair via homologous recombination
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	positive regulation of chromatin binding
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	positive regulation of double-strand break repair via nonhomologous end joining
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	positive regulation of protein phosphorylation
KHDRBS1	KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]	
KIAA1143	KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198]	
KIAA1324L	KIAA1324 like [Source:HGNC Symbol;Acc:HGNC:21945]	
KIAA1524	KIAA1524 [Source:HGNC Symbol;Acc:HGNC:29302]	
KIDINS220	kinase D-interacting substrate 220kDa [Source:HGNC Symbol;Acc:HGNC:29508]	
KIRREL2	kin of IRRE like 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:18816]	
KLC3	kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]	
KLF15	Kruppel like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]	negative regulation of peptidyl-lysine acetylation
KLF15	Kruppel like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]	positive regulation of transcription from RNA polymerase II promoter
KLHL17	kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]	
KLHL20	kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]	
KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	
KLHL42	kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252]	
KLHL6	kelch like family member 6 [Source:HGNC Symbol;Acc:HGNC:18653]	
KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	KALLIKREIN DECREASED URINARY ACTIVITY OF
KLK14	kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]	
L3HYPDH	trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488]	
LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	LAMB-2-related infantile-onset nephrotic syndrome
LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	PIERSON SYNDROME
LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	Synaptic congenital myasthenic syndromes
LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	Nephrotic syndrome type 5 with or without ocular abnormalities
LANCL1	LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]	
LANCL2	LanC like 2 [Source:HGNC Symbol;Acc:HGNC:6509]	
LAT	linker for activation of T-cells [Source:HGNC Symbol;Acc:HGNC:18874]	Ras protein signal transduction
LAT	linker for activation of T-cells [Source:HGNC Symbol;Acc:HGNC:18874]	calcium-mediated signaling
LAT	linker for activation of T-cells [Source:HGNC Symbol;Acc:HGNC:18874]	positive regulation of T cell activation
LAT2	linker for activation of T-cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]	
LBX2	ladybird homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15525]	
LCN10	lipocalin 10 [Source:HGNC Symbol;Acc:HGNC:20892]	
LCN6	lipocalin 6 [Source:HGNC Symbol;Acc:HGNC:17337]	
LCNL1	lipocalin like 1 [Source:HGNC Symbol;Acc:HGNC:34436]	
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	negative regulation of cell migration
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	negative regulation of epithelial to mesenchymal transition
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	negative regulation of pathway-restricted SMAD protein phosphorylation
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	negative regulation of transforming growth factor beta receptor signaling pathway
LEKR1	leucine, glutamate and lysine rich 1 [Source:HGNC Symbol;Acc:HGNC:33765]	
LHX1	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	
LHX1	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	17q12 microdeletion syndrome
LIME1	Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26016]	
LIN54	lin-54 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:25397]	
LINGO4	leucine rich repeat and Ig domain containing 4 [Source:HGNC Symbol;Acc:HGNC:31814]	
LMAN2L	lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]	Autosomal recessive non-syndromic intellectual disability
LMAN2L	lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]	MENTAL RETARDATION AUTOSOMAL RECESSIVE 52
LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]	
LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	
LRCH4	leucine rich repeats and calponin homology domain containing 4 [Source:HGNC Symbol;Acc:HGNC:6691]	
LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	Congenital lactic acidosis Saguenay-Lac-Saint-Jean type
LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	LEIGH SYNDROME FRENCH CANADIAN TYPE
LRRC17	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	
LRRC39	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]	
LRRC40	leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]	
LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	
LRRC8B	leucine rich repeat containing 8 family member B [Source:HGNC Symbol;Acc:HGNC:30692]	
LSMEM1	leucine rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:22036]	
LTN1	listerin E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:13082]	
LYRM2	LYR motif containing 2 [Source:HGNC Symbol;Acc:HGNC:25229]	
LYRM7	LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]	Isolated CoQ-cytochrome C reductase deficiency
LYRM7	LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]	MITOCHONDRIAL COMPLEX III DEFICIENCY NUCLEAR TYPE 8
MACROD1	MACRO domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29598]	
MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	
MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]	
MANF	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	
MAP1LC3C	microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]	
MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	
MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]	positive regulation of telomerase activity
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]	positive regulation of telomere capping
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]	positive regulation of telomere maintenance via telomerase
MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	Multiple benign circumferential skin creases on limbs
MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	Skin creases congenital symmetric circumferential 2
MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	Circumferential Skin Creases Kunze Type
MAS1	MAS1 proto-oncogene, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:6899]	negative regulation of protein kinase C signaling
MAX	MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]	Hereditary pheochromocytoma-paraganglioma
MAX	MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]	PHEOCHROMOCYTOMA
MB21D1	Mab-21 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21367]	
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	BRESEK syndrome
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	Ichthyosis follicularis-alopecia-photophobia syndrome
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	Keratosis follicularis spinulosa decalvans
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	Mutilating palmoplantar keratoderma with periorificial keratotic plaques
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	IFAP syndrome with or without BRESHECK syndrome
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	KERATOSIS FOLLICULARIS SPINULOSA DECALVANS X-LINKED
MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	PALMOPLANTAR KERATODERMA MUTILATING WITH PERIORIFICIAL KERATOTICPLAQUES X-LINKED
MCEE	methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]	Methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency
MCEE	methylmalonyl-CoA epimerase [Source:HGNC Symbol;Acc:HGNC:16732]	METHYLMALONYL-CoA EPIMERASE DEFICIENCY
ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	
